Var1,Var2_1,Var2_2,Var2_3,Var2_4,Var2_5,Var2_6,Var2_7,Var2_8,Var2_9,Var2_10
716,0.00090571,0.000855071,0.000907254,0.000881426,0.000889455,0.00087016,0.000885171,0.000883248,0.001256595,0.000896604
717,0.000873269,0.000815416,0.0008652,0.000845684,0.000846178,0.000834356,0.00084756,0.00084288,0.001214937,0.000845501
718,0.000835601,0.000783318,0.000824332,0.000805141,0.00080476,0.000789359,0.000800484,0.000802606,0.001177193,0.000805979
719,0.000795906,0.00074714,0.000780509,0.00076325,0.000766528,0.000743513,0.000757248,0.000762373,0.001138187,0.000769115
720,0.000755949,0.000706388,0.0007346,0.000721964,0.000733213,0.000699625,0.000721433,0.000723615,0.001098507,0.000735163
721,0.000722026,0.000665536,0.000696956,0.000686404,0.000687057,0.000657111,0.000678431,0.000692835,0.001049812,0.000684509
722,0.000684301,0.000626609,0.00066012,0.000654751,0.00064847,0.000631504,0.000643083,0.000660972,0.001012872,0.000646342
723,0.000644118,0.000590657,0.000625147,0.000627742,0.000618152,0.000622593,0.000615974,0.000629035,0.000988046,0.000621064
724,0.000611016,0.00057186,0.00059516,0.000593018,0.000600821,0.000589573,0.000589739,0.000603637,0.000955609,0.000595174
725,0.000579801,0.000551742,0.000569924,0.000561191,0.000575821,0.000556835,0.000561045,0.000576874,0.000926154,0.000568147
726,0.000550159,0.000529951,0.000546001,0.000531076,0.000546343,0.000524471,0.000530269,0.000549449,0.000898402,0.000540804
727,0.000525203,0.00050283,0.000506183,0.000500738,0.000526134,0.000496196,0.000498122,0.000526511,0.000869494,0.000519716
728,0.000500869,0.000474326,0.000476513,0.000471911,0.000494526,0.00046883,0.000466628,0.00049548,0.000839172,0.000497552
729,0.000477919,0.000445112,0.000453413,0.000446632,0.000457443,0.000441916,0.000437059,0.000460906,0.000809639,0.000474717
730,0.000458989,0.000416955,0.000429648,0.000431673,0.000429161,0.000414575,0.000413634,0.000433998,0.000787226,0.000452235
731,0.000436486,0.000386762,0.000407585,0.000408468,0.000411563,0.000398036,0.000392393,0.000401382,0.000757169,0.000422955
732,0.000410095,0.000356826,0.000386394,0.000383135,0.000395785,0.000382739,0.000373172,0.000369651,0.000724557,0.000391819
733,0.000373836,0.000330071,0.000364979,0.000362127,0.000369059,0.000354099,0.000357374,0.000349356,0.000693497,0.000363501
734,0.000358624,0.000307175,0.000343781,0.000342151,0.000342192,0.000336094,0.000337645,0.000332248,0.000663978,0.000345829
735,0.000343373,0.000290025,0.00032505,0.000322899,0.000320248,0.000321103,0.000318384,0.000318756,0.000642334,0.000330528
736,0.000315888,0.000282401,0.000310418,0.000303378,0.000307832,0.000306082,0.000300985,0.000310691,0.000635969,0.000313779
737,0.000309958,0.000276628,0.000294655,0.000291759,0.000296976,0.000292345,0.000277078,0.000306358,0.000631049,0.00030052
