Var1,Var2_1,Var2_2,Var2_3,Var2_4
416,0.002854115,0.002829658,0.002694773,0.002732013
417,0.002866429,0.002842107,0.002703077,0.002743871
418,0.002879531,0.00285711,0.002713807,0.002756777
419,0.002893809,0.002875958,0.002728193,0.002771249
420,0.00290685,0.002887923,0.00273949,0.002782621
421,0.002919231,0.002898476,0.002749999,0.002793334
422,0.002929513,0.002912745,0.002761298,0.002806076
423,0.00294096,0.002926174,0.002772945,0.002818484
424,0.002953602,0.002938782,0.002784963,0.002830578
425,0.002965098,0.002950433,0.002797323,0.002838327
426,0.002976904,0.002961577,0.002808922,0.002847733
427,0.002989806,0.002971824,0.002818676,0.002862287
428,0.003001701,0.00298485,0.00282958,0.002875397
429,0.003014148,0.00299973,0.002841723,0.002888373
430,0.003033549,0.003017347,0.002858238,0.002903131
431,0.00304955,0.003027416,0.002871358,0.002913893
432,0.003060888,0.003029196,0.002880029,0.002919795
433,0.003070009,0.003038332,0.002884248,0.002924537
434,0.003078336,0.003047702,0.002889125,0.002930379
435,0.003085909,0.003056444,0.002896665,0.002939181
436,0.00309332,0.003066575,0.002906228,0.002947932
437,0.003101166,0.00307778,0.00291669,0.002956733
438,0.003114519,0.003095322,0.002929517,0.002967654
439,0.003130528,0.00311228,0.00294474,0.002982083
440,0.003148868,0.003128324,0.002962038,0.002999701
441,0.003165163,0.003141341,0.002978888,0.003013642
442,0.00318192,0.003155688,0.002995838,0.00302854
